奸	gaan1
瓨	gong1
驤	soeng1
糶	tiu3
滏	fu2
憆	caang1
㸫	gin1
昡	jyun6
弾	daan6
䉹	ling4
皗	cau4
䐹	sau1
巛	cyun1
琕	pan4
溁	jing4
㾦	pui1
㒐	seon2
忩	cung1
豬	zyu1
鶮	hok6
逝	sai6
壴	zyu3
恨	han6
付	fu6
䤁	cam4
䴀	tung4
䒉	mou5
𠲎	fat6
𨻧	lau4
慡	song2
噺	san1
毲	zyut3
𤾸	faa1
誽	ngai6
驝	tok3
䂸	gwok3
稇	kwan2
㺸	ping4
涃	kwan3
矪	zau1
㥒	coi2
玝	ng5
廜	tou4
謺	zip3
睎	hei1
𤥢	kok3
鱉	bit3
鮕	gu1
歈	jyu4
嬻	duk6
䘭	zi3
䞷	gyut6
𧽒	cau5
蜑	daan6
乲	ci3
㯆	caan2
𥩔	ling4
覡	hat6
𢂚	coek3
靜	zing6
東	dung1
壔	dou2
㵎	gaan3
㚕	bat6
豒	dit6
䃬	ngai5
䱳	zin1
㑼	loek6
䪶	zeoi1
愼	san6
薏	ji3
㭋	paang5
觷	hok6
䧅	ji4
䘟	diu1
䧦	wai4
羅	lo4
螮	dai3
陑	ji4
𧨾	tam3
㵘	maan6
㡷	bun2
嚛	huk1
㱎	gwan1
䟏	lik6
粭	hap6
䖅	ling4
轒	fan4
祮	haau2
㽴	zoeng6
羝	dai1
䖀	hiu1
䓯	duk6
䓼	mong4
聉	waat6
鵼	hung1
䈱	tou1
䚱	seon3
餉	hoeng2
潈	zung1
㭸	tou4
懍	lam5
㡋	jip3
薗	jyun4
凞	hei1
㰟	gat1
鷴	haan4
㤓	ban6
嫛	ji1
䃭	gam2
畖	waa1
𢦂	laan2
盬	gu2
䬽	seoi3
㜅	huk1
𤦸	bou2
焆	gyun1
䛻	jau5
觺	ji4
禔	tai4
𣇈	hiu2
㧤	cung3
䳰	bou2
㒅	kai2
挹	jap1
喆	zit3
邕	jung1
光	gwong1
焧	cung1
趴	paa1
敲	haau1
𧅤	bou2
槒	cuk1
棝	gu3
麩	fu1
魶	naap6
瑅	tai4
䙥	ling4
崷	cau4
窙	haau1
㗍	zaai1
柌	ci4
䓂	jin4
姹	caa3
𠳁	kwan3
㡅	no5
墟	heoi1
楜	wu4
擣	dou2
笂	jyun4
䥍	zi3
榻	taap3
鴌	fung6
圀	gwok3
毰	pui4
竚	cyu5
嬜	jam1
酃	ling4
鏩	zim6
䚈	gyun3
飰	faan6
暤	hou6
䑂	jaai5
膆	sou3
䠯	joek6
斑	baan1
臞	keoi4
㛈	haau2
鼅	zi1
䞡	taan2
彽	dai1
渖	sam2
消	siu1
䱟	geoi3
蛢	ping4
䡛	jan6
䂘	caai1
𡡞	seon3
䥮	zuk1
瑔	cyun4
麂	gei2
䟭	tiu3
𣉞	gou2
瞄	miu4
𤷇	wak6
塼	zyun1
㫉	ngai4
㯡	paau3
窓	coeng1
捓	je4
鋨	ngo4
𦤦	hot3
摣	zaa1
揹	bui3
黊	waa6
氡	dung1
扺	zi2
圛	jik6
鿐	zau2
歨	bou6
䘍	caai3
汓	cau4
葼	zung1
𡣙	caai4
裻	duk1
潢	wong4
𠾶	ging2
奟	bang1
䎼	luk6
鵧	pei4
鱁	zuk6
䜚	daap6
骵	tai2
幐	tang4
嵺	liu4
䂍	bok6
巹	gan2
䗯	zeon3
㚭	jau4
欃	caam4
㮷	gai1
楐	gaai3
䘝	jik6
沊	dam2
𡣑	pan4
娝	pau1
㠢	waai4
蔿	wai2
瓵	ji4
鷘	cik1
鋩	mong4
針	zam1
窷	liu4
㶓	cong4
瘙	sou3
㺲	nau5
䪘	wai5
木	muk6
碙	gong1
曲	kuk1
磛	caam4
鼵	dat6
䙐	hak1
璴	co2
愮	jiu4
㳊	jau4
氒	kyut3
摥	tong3
帵	jyun2
嵈	wun6
䩽	jyu1
䑦	kau1
緾	cin4
悶	mun6
皳	kau4
罅	laa3
㭨	je4
㘕	haam3
彧	juk1
䪞	zaap6
䃴	zyu1
㣍	toi4
媅	daam1
郆	gat1
䊻	gam1
鋔	waan5
䝐	wai4
𥕝	zaat3
齅	cau3
啶	ding6
屷	wui6
歵	zaak6
棾	king4
䜡	juk1
虋	mun4
瀜	jung4
噥	nung4
糀	faa1
㜑	po4
踢	tek3
堅	gin1
慞	zoeng1
鏐	lau4
㬡	ling4
㥴	ji4
穮	biu1
𠿪	gaa2
䂠	si2
㡀	bai6
儇	hyun1
砞	mut6
蕘	jiu4
㽝	lai6
𢛵	zang2
勴	leoi6
雜	zaap6
葦	wai5
屵	ngon6
溮	si1
騉	kwan1
住	zyu6
軹	zi2
憙	hei2
埪	hung1
麷	fung1
顯	hin2
皧	oi3
㨡	wat6
輛	loeng6
貾	ci4
㴣	ji4
䲕	pou1
螻	lau4
㲢	bin6
秫	seot6
対	deoi3
僱	gu3
噲	faai3
㯁	pui4
𣁦	pun4
鍝	jyu4
虭	diu1
飱	syun1
鎚	ceoi4
榵	jung4
殄	tin5
莅	lei6
泳	wing6
渝	jyu4
鄂	ngok6
𣈱	coeng3
䄄	jan1
旑	ji2
業	jip6
憗	jan6
逃	tou4
摮	ngou4
㕌	ngoi6
忚	hei1
恕	syu3
䮘	ji4
㫋	zin1
鳋	sou1
深	sam1
汚	wu1
牻	mong4
䘏	seot1
㜺	zaan2
䁐	jing1
㷁	jung2
妘	wan4
樃	long5
㐎	man4
㭜	jung4
實	sat6
牑	bin1
䛈	si3
邦	bong1
𠿟	ak1
㕝	si6
韽	am1
𤍈	hei2
䎱	paa4
㩰	ziu2
誁	pin5
纐	haau1
鎈	caa1
琯	gun2
𦴦	haak3
囶	gwok3
㭱	haap6
椋	loeng4
㦡	lok6
肔	ci2
㟠	gong1
𤫟	lai6
𧋦	mei1
𢰦	ceon1
䳐	ci3
𠧧	sai1
熲	gwing2
歟	jyu4
湶	cyun4
㝺	lim4
厑	ngaai4
戼	maau5
癯	keoi4
峲	lei5
慠	ngou6
䑍	jin1
裉	kang3
梪	dau6
𦟌	zin2
𤨓	caa4
嶽	ngok6
㿌	him1
㠲	bei2
鎕	tong4
蔆	ling4
惃	gwan2
𢥫	wan6
悤	cung1
飢	gei1
脂	zi1
柺	gwaai2
㻝	laat6
㑉	suk1
固	gu3
毫	hou4
䵴	wan6
倫	leon4
擦	caat3
坴	luk6
鏰	bang1
槹	gou1
捺	naat6
䱒	jip3
喃	naam4
𥝝	nin4
岹	tiu4
䨌	bok6
㾭	zau3
枬	zin1
䢕	wat1
蒞	lei6
㶭	jau2
酯	zi2
㦔	jim1
塁	leoi5
洃	fui1
益	jik1
譬	pei3
騥	jau4
櫍	zat1
鸚	jing1
䵿	tip3
䤴	ham4
㬋	hau4
䧁	heoi2
䫀	gan2
乧	dau2
咤	zaa3
㫼	zit3
韓	hon4
猸	mei4
犩	ngai4
簪	zaam1
凾	haam4
㳏	si3
兜	dau1
㳜	jau1
瞁	hik1
迥	gwing2
䮻	dou2
浵	tung4
祾	ling4
兼	gim1
窢	wik6
䜏	to1
滎	jing4
㿺	pok1
𧨎	jyun4
𢚖	ti4
㙵	toi4
䑀	pik1
㸴	sek6
㰎	zeoi3
佂	zing1
邥	sam2
髸	gung1
𤳉	hon3
鷨	waa4
䊢	zoeng1
陹	sing1
澾	taat3
㛡	wan6
蹷	kyut3
暾	tan1
妼	bat6
㪉	hap6
爸	baa1
杺	sam1
𠿭	wet1
簆	kau3
㑝	lung6
䥴	kwai4
闑	jit6
㼪	zip3
敼	hei2
膎	haai4
敋	gok3
繠	jeoi5
澭	jung1
澚	jyut6
佇	cyu5
熭	wai6
𨧡	gwan1
䣀	gwai2
趩	cik1
現	jin6
𦲁	nei4
絾	sing4
覇	baa3
㣅	zaam6
峐	goi1
鶲	jung1
焸	hing2
髾	saau1
羭	jyu4
錑	leoi6
霧	mou6
簞	daan1
柛	san1
䕏	ngo4
薘	daat6
鎍	sok3
轈	caau4
㪵	bun3
鏥	sau3
聻	zim6
轖	sik1
濛	mung4
䠢	mung6
𤨕	lak6
㝠	ming4
䚲	saan3
蛉	ling4
樗	syu1
𥅽	daap3
䝅	fui1
悒	jap1
䫟	wan6
凰	wong4
㱛	daai2
胰	ji4
鑒	gaam3
蟅	ze3
鶍	ji6
置	zi3
磉	song2
𧗤	hon3
蔐	dik6
䢮	leoi5
𤪧	fung6
㓊	dung6
墲	mou4
髒	zong1
蛩	kung4
厮	si1
碉	diu1
䗶	laap6
珒	zeon1
匠	zoeng6
艅	jyu4
𥟠	gaai1
䅯	tong4
䋘	zeoi6
鞹	kwok3
誛	cam1
𧯯	kei4
雧	zaap6
𣖙	mei5
嚔	dai3
礵	soeng1
䤷	jin2
噛	ngit6
巡	ceon4
㨏	taan1
崸	dan6
樾	jyut6
蓗	zung2
㹎	leoi4
轙	ngai5
捁	gaau2
彑	gai3
癬	sin2
膗	ceoi4
軤	fu1
根	gan1
鮇	mei6
匤	kuk1
凅	gu3
繕	sin6
㤑	jau1
睡	seoi6
𣿰	zeon3
攀	paan1
塶	luk6
璦	oi3
亮	loeng6
㺻	fat1
㐡	no6
垑	ci2
䝘	ngai6
㩽	kei4
絫	leoi5
扙	zoeng6
鰖	to2
䈲	bun1
㘡	haap6
䔃	zou2
筨	ham4
嘨	siu3
㬳	ng5
𡸣	jit6
𧿒	dam6
㼣	baak3
槔	gou1
㡿	cik1
爔	hei1
訝	ngaa6
鍯	cung1
莻	jing4
㣁	bei6
毝	coi2
菧	dai2
賬	zoeng3
懥	zi3
瘋	fung1
𠁞	bui5
挵	lung6
蚮	taai3
㡯	zaak6
䜒	ou3
䤅	tou4
寷	fung1
胩	kaa1
怛	daat3
嘺	kiu4
楰	jyu4
𥘅	si6
㸈	ziu1
𡠪	mun5
醁	luk6
𨐒	ci4
幉	jip6
爀	haak1
帛	baak6
梕	jan6
剭	uk1
𡤐	coi3
卧	ngo6
孋	lei4
𨭤	ou1
砄	kyut3
䫩	sam2
䡣	wan4
㥓	kei1
㜿	zeoi6
鵥	pun3
㟷	daat3
㚾	hing1
狳	jyu4
肧	pei1
籘	tang4
䍋	seoi4
䛇	jin5
䫎	dyut3
焄	fan1
𧚅	long6
㑚	naa5
粨	baak3
蔬	so1
𠊞	zung1
嚋	cau4
㼄	gei1
盩	zau1
珠	zyu1
鏪	cou4
獫	him2
瘊	hau4
砧	zam1
濣	waat3
𠸎	naa1
䐁	duk1
䅴	sok3
磽	haau1
迚	zung1
萓	ji4
曥	lou4
坅	jam2
峟	jau6
𣭚	bou6
偙	dai3
䊾	muk6
𧬨	wai3
匋	tou4
簯	kei4
䦞	jeon6
嵟	deoi1
鐥	sin3
䄥	ling4
瑪	maa5
揬	dat6
幯	zit3
䒇	fu3
㹴	gang1
瞞	mun4
俼	juk6
榋	song1
𩻸	dai6
熄	sik1
踞	geoi3
㲦	hon6
䂜	pong5
𣪧	jan1
乸	naa2
㗯	ze2
痶	din2
讁	zaak6
幷	bing6
䨸	jan2
𨧀	dou6
萊	loi4
鵎	to2
閨	gwai1
䀅	se5
婺	mou6
恑	gwai2
筀	gai3
彺	wong4
𩖞	laam4
䎀	hyut3
䧔	nim6
㽞	lau4
釙	pok3
㭐	daai6
擝	mang1
㛥	taap3
俀	teoi2
㸺	saa1
㠕	ngai4
瞚	seon3
餄	hap6
𣏞	jau4
弬	ji4
纆	mak6
嵪	hiu1
旛	faan1
䡾	jit6
㔬	coek3
䤭	sik1
䄶	bat6
莚	jin4
㬔	hou4
𡞳	gwai3
儚	mung4
䥎	seon4
㘁	jik6
彐	gai3
靁	leoi4
莮	naam4
𢎽	kap6
䡞	guk1
躻	hung1
𨀂	cuk1
尞	liu4
鮏	sing1
㣭	zung1
瓫	pun4
䓑	ping4
栘	ji4
昖	jyun4
覕	pit3
歳	seoi3
𤿪	zaap3
貁	jau6
䟓	caang1
氷	bing1
𨶹	si1
佸	wut6
鉷	hung4
琷	kyut3
㰒	hok6
桙	jyu4
崞	gwok3
熐	mik6
𢬢	diu3
𤦎	leon4
勆	long4
𧩹	si1
邭	geoi3
宣	syun1
刦	gip3
㕶	ng6
逘	ji4
肟	ok3
䲛	mung5
䄢	zaai1
技	gei6
珛	cau3
㓸	zoek3
晆	kwai1
渓	kai1
㚿	baau1
㡣	lung4
暷	cyun4
竳	dang1
葻	laam4
儝	king4
聊	liu4
苬	cau4
瞬	seon3
栔	kai3
月	jyut6
囧	gwing2
詺	ming6
竏	cin1
罐	gun3
刨	paau4
䧀	gwang1
抑	jik1
𡽪	fai1
艀	fau4
㵅	taam1
豭	gaa1
軄	zik1
噄	hek3
㘋	jin4
䖇	wat1
竂	liu4
軧	dai2
㻜	cung1
珣	seon1
鞕	ngaang6
癅	lau4
鮣	jan3
犻	but6
峾	ngan4
𩵚	tou2
涻	se3
鍗	tai4
丏	min5
瑿	ji1
矡	fok3
醏	dou1
𣌀	hei1
蠪	lung4
䝮	jyun6
瞻	zim1
暿	hei2
錎	haam6
秭	zi2
㒰	cyun4
𡍷	gang2
𢫏	kam2
㼰	pei4
墷	jip6
鯎	sing4
伜	ceoi3
䠪	teon2
孠	zi6
古	gu2
閸	kwan2
䂟	gaa1
䖓	neot6
嘢	je5
䫃	seon4
詉	naau4
巴	baa1
𦁈	hung3
覹	mei4
㙣	zoeng3
㰩	hoi1
䂳	co2
芄	jyun4
濵	ban1
澿	kam4
㐫	hung1
髫	tiu4
㕟	wai2
𥔵	ci4
饖	wai3
葹	si1
墢	baat6
㮸	sung3
殅	sang1
焼	siu1
䜯	guk6
蠎	mong5
戄	fok3
塎	jung5
瞱	jip6
缷	se3
䋗	gin1
尠	sin2
仏	fat6
鑼	lo4
鮰	wui4
掓	suk1
邗	hon4
䉕	cang4
箋	zin1
璬	giu2
哠	hou6
學	hok6
珔	zin6
䵤	gin2
斆	haau6
隬	nei5
聟	sai3
㠴	jan6
裫	jyun1
榔	long4
𦡆	fat1
㒃	ji6
円	jyun4
唨	zo2
樘	tong4
癈	fai3
𠾭	we5
巸	ji4
㨙	haai4
霨	wai3
䅱	ngan6
㿗	teoi4
䞴	zaau1
罖	mong5
䘔	kaak3
昹	oi2
礘	ngap6
蘼	mei4
䪂	gaak3
䰑	sou1
䭜	liu4
蟾	sim4
幧	ciu1
藲	au1
𧩓	fat1
㔎	sit3
𠊙	ji4
驡	lung4
仅	gan2
㡗	tai4
焻	coeng3
𦹄	siu6
牯	gu2
汳	bin6
癳	lo2
刅	cong1
㟧	ngok6
徍	wong5
熌	sim3
䩤	kit3
䤎	gwat1
藻	zou2
覢	sim2
𣶸	bing2
瓏	lung4
䘼	jyun2
煮	zyu2
䐜	can1
梡	fun2
擶	zin3
䥳	jau1
俽	jan1
鶾	hon6
謒	coeng1
敊	cuk1
𥵃	zaan2
側	zak1
䦑	hyut3
䃞	suk6
覷	ceoi3
㥾	nik6
歇	hit3
淭	keoi4
韑	wai5
偷	tau1
慎	san6
瞃	wat1
侇	ji4
垏	leot6
𥑬	caak3
䩚	dai3
𣜠	hei1
貳	ji6
焅	guk6
芪	kei4
䳇	mou5
䴜	waai1
㨬	jyun4
𡁜	wo5
㾸	gou2
荿	sing4
颶	geoi6
䒱	zing1
嚯	ho1
艚	cou4
㔟	sai3
㴧	sik1
𥅠	hau1
佼	gaau2
執	zap1
㧗	zi2
瑄	syun1
㮐	saang2
濱	ban1
呚	mui4
拭	sik1
㨎	jyu5
殖	zik6
廢	fai3
獣	sau3
昌	coeng1
䖶	fui1
𣕧	gaa3
陮	deoi6
𤤁	fong1
蜽	loeng5
戨	go1
䁯	hap1
抖	dau2
藙	ngai6
媃	jau4
鬜	haan1
𥋇	caang3
䜞	zai1
輿	jyu4
㔪	lou5
炐	pong3
鴁	jiu1
䬻	zin3
鞂	gaai1
䎟	ji4
𠲵	gip3
怖	bou3
㜱	zat1
帓	mat6
蘯	dong6
𡍶	zi6
啋	coi1
㒄	jin5
㪌	tung2
雐	fu1
瀞	zing6
漄	ngaai4
娵	zeoi1
䀬	cyun4
洴	ping4
䌱	lo6
𪙊	jim6
愊	bik1
𨪛	jyun4
㸕	fok3
鼮	ting4
䗟	ai3
翸	pun2
㣃	juk6
嵔	wai3
鐅	pit3
蓛	caak3
苜	muk6
抇	wat6
栦	cau4
燳	ziu3
蘍	fan1
曔	ging6
偯	ji2
竵	waai1
遉	zing1
䐊	gwan1
飋	sat1
嚪	daam6
䝛	bo1
燝	ging2
乯	fu4
奍	hyun3
閯	saa3
㪫	jeoi6
椒	ziu1
瞡	kwai1
瘍	joeng4
浻	gwing2
尙	soeng6
㖱	je6
蝟	wai6
䈉	saap3
嗖	sau1
𡕷	hing3
腏	zyut3
痜	tuk1
䖮	hoeng2
綼	bik1
兯	zit3
轚	gik1
㕴	sam2
偂	cin4
繈	koeng5
袏	zo3
宲	bou2
䈓	got3
隻	zek3
聘	ping3
抧	zi2
熼	jik6
𡏅	long5
㜖	cou4
楓	fung1
䢄	saai2
杰	git6
㼤	kit3
䎕	gwang1
沔	min5
惹	je5
㦸	gik1
䩰	jyun5
厦	haa6
肙	jyun1
嘙	po4
䤗	gam2
瀊	pun4
蟛	paang4
𥔲	ngok6
构	kau3
䜈	ziu2
㘣	syun4
䴦	ngan4
㝼	jyu1
欲	juk6
伂	pui3
醡	zaa3
遯	deon6
視	si6
納	naap6
酠	gaa3
圇	leon4
艎	wong4
䗥	zung1
㜏	wan4
鷎	gou1
䚜	bai1
㹚	wang2
峝	dung6
闔	hap6
䞟	paak3
沰	tok3
碒	jam4
世	sai3
逓	dai6
𣫛	ngai6
㝷	cam4
𩦝	sing6
䜖	taam4
䀻	ping3
吀	mei5
㔱	jyu4
㷢	zaa2
簮	zaam1
斚	gaa2
䳠	seoi6
䄚	cou4
嵖	caa4
豜	gin1
者	ze2
唦	saa1
㳴	mat6
𧞄	jyut6
忬	jyu6
攙	caam1
譗	zaap3
㨮	dau1
㣏	zing6
䪮	cau2
㫅	kei4
眓	kut3
睻	hyun1
𥲑	maan4
躙	leon6
㺔	hoi3
炚	gwong1
訦	sam4
誮	waa1
㕠	soeng1
竕	fan1
䱯	mou4
𠒣	hang4
荴	fu1
醘	hap1
籄	gwai6
蒆	hoe1
㴝	lai4
糈	seoi2
偩	fu6
怸	sik1
䞝	juk6
帹	saap3
㒮	fui1
乭	sek6
盝	luk6
繡	sau3
𨦫	jyu5
㷆	fau6
梙	waan6
䧌	seoi1
𣜭	zin2
鏼	suk1
䣯	cou4
趾	zi2
藁	gou2
𡃴	ceoi4
䤵	fei6
䭭	sau2
䟃	caam1
䴤	sang1
式	sik1
䐳	jyu4
䠘	pei3
𨰝	gaan2
㵝	jeoi6
𥣞	dek6
㢻	jeoi6
泎	zaak6
擛	jip6
䤬	so1
晗	ham4
䐮	caan2
徢	sip3
怘	gu3
灄	sip3
䰶	mong1
換	wun6
基	gei1
縚	tou1
荢	zi6
确	kok3
貵	pin2
𠒒	jan5
巓	din1
糳	zok6
䒮	gong1
燣	laam4
㙘	jiu1
𨆼	cyu4
鉽	sik1
尭	jiu4
熗	coeng3
㛻	waai1
檉	cing1
㾮	wong4
軇	dou6
䊣	wong4
唓	ce1
㯊	han4
馽	zap1
𩬅	jim4
緦	si1
䐱	zaai3
瀀	jau1
坯	pui1
悋	leon6
䅬	aai3
蠇	lai6
䯪	haau2
赴	fu6
䠙	pong4
鐊	joeng4
㢾	gyun3
㒊	saap3
䮥	lik6
嘊	ngaai4
䕛	gaap3
嘈	cou4
垽	ngan6
鏲	cim1
㨺	min5
訫	seon3
幭	mit6
鑙	kai1
葒	hung4
䣒	gwai3
䉾	bei3
腞	syun6
啀	ngaai4
苝	bui6
聒	kut3
殥	jan4
䄒	nam5
㬉	nyun5
萠	pang4
㐜	sau4
馚	fan4
㡭	gai3
鍤	caap3
𤤿	baak3
田	tin4
肁	ziu6
䕰	faan4
隂	jam1
鍈	joeng1
仾	dai1
宩	si2
蒶	fan4
𩐝	wan6
垡	fat6
㴃	leoi6
藌	mat6
𧄌	dan2
𨩅	hung4
鹸	gaan2
賒	se1
砍	ham2
鍚	joeng4
皺	zau3
㱉	jip6
傃	sou3
杸	syu4
岼	ping4
篇	pin1
㬀	hoeng2
䯖	long4
嬂	zik1
褹	ngai6
㴓	saai1
孂	giu2
榩	kin4
字	zi6
恢	fui1
妴	jyun2
䯫	hou6
㩱	zoek3
𣓥	jau4
𨺬	gaai3
㺑	saam1
奦	mou6
䪤	faan4
䣹	fat6
幼	jau3
邩	fo2
昸	dung1
砑	ngaa6
筯	zyu6
䭓	ngan6
午	ng5
蹟	zik1
𣟂	fun1
錋	paang4
禲	lai6
䝚	nei4
覽	laam5
䀢	seon3
瓼	lei5
顈	gwing2
㧯	lou5
偓	ak1
裳	soeng4
㸋	faan4
懕	jim1
䵒	nik1
毟	siu2
豂	liu4
𤩦	git3
暚	jiu4
澈	cit3
䱡	guk1
康	hong1
海	hoi2
捹	fing6
簂	gwok3
𩥪	fung1
䶈	bok3
㾷	sai1
𩆨	fung1
䤶	jip3
㡸	zaa6
㪔	saan3
烗	hoi1
枘	jeoi6
𢫦	paak3
𨧺	bing2
㮦	sok3
溋	jing4
柫	fat1
哭	huk1
䘓	ham3
𨈘	saau2
凒	oi2
𢮑	luk1
縎	gwat1
颲	lit6
䙝	dip6
䈚	doi6
軉	juk1
䛴	gei1
瀖	fok3
胘	jin4
𧟄	joeng4
䰞	zyu2
覍	bin6
䁻	soek3
詃	gyun2
斦	ngan4
褝	daan1
𦻓	cing4
鐀	gwai6
𤥶	naa5
㪞	mou6
沖	cung1
㾤	hong1
躬	gung1
𤤌	jung2
齷	ak1
宑	jing2
仐	tou1
㙥	gwan3
懗	haa3
哅	hung1
詜	tou1
巣	caau4
𥜝	kit3
偄	jyun5
弖	gung1
嚿	gau6
屸	lung4
簊	gei1
諟	si6
煕	hei1
儫	hou4
䶜	guk1
䇕	seoi1
猻	syun1
㐴	paan1
㾑	daap3
屘	mei1
鞉	tou4
腜	mui4
㧴	ngo5
灬	biu1
㟁	ngon6
䔸	biu2
灃	fung1
夻	ng4
卼	ngat6
䞅	ji4
抜	bat6
㱚	caan4
㸆	kaau3
䮾	pung4
拏	naa4
𦖠	sim2
符	fu4
䒌	ming6
䕦	jing4
廡	mou5
娳	lei6
㣶	zaan1
朅	kit3
𡂖	lai2
䱇	sin5
㮥	ban6
𢸶	cyut3
䫛	hau4
裿	ji2
瘑	gwo1
肊	jik1
撑	caang1
䱑	zyut6
粞	sai1
蛫	gwai2
䑄	bei6
袈	gaa1
䄨	jyu4
䎯	hon3
鉝	laap6
䯓	kwai1
㧣	zyu1
驓	cang4
闁	bou1
啖	daam6
暰	cung1
禼	sit3
疴	o1
㻵	zaan6
鎏	lau4
楹	jing4
虱	sat1
氘	dou1
宺	fong2
䮡	bat6
蒈	kaai2
岾	zim1
壣	leon4
鍩	nok6
珅	san1
鼠	syu2
䪛	faan1
㲸	kap1
獿	naau4
厚	hau5
互	wu6
躿	hong1
㹈	mou4
氼	nik6
𣳇	zo2
𥌓	cyu5
䠶	se6
俜	ping1
移	ji4
懃	kan4
嫈	jing1
歆	jam1
韠	bat1
儵	suk1
㬶	hou6
輱	haam4
忥	hei3
輸	syu1
圸	saan1
趢	luk6
䯀	nip6
鏂	au1
啔	kai2
賞	soeng2
羇	gei1
啩	gwaa3
危	ngai4
𧥧	jiu4
瓁	wok6
𣸭	juk1
𡀩	lok1
䶞	kei4
𦁤	nim6
溬	goeng1
㕞	caat3
蟖	si1
䖂	lyun4
𦏸	jai6
駯	zyu1
䪄	wong4
聰	cung1
瀒	gip3
聓	sai3
羓	baa1
烔	tung4
梦	mung6
訶	ho1
䯬	do2
䇼	jap1
曶	fat1
𣖕	peng1
刓	jyun4
𩄍	cau1
䧬	ban1
檭	ngan4
薎	mit6
跺	do2
㑥	ji6
竆	kung4
䙢	zang3
惉	zim1
䜗	jam3
阹	keoi1
㐥	co4
簓	diu1
炿	zau1
衪	ji4
䰭	jyu4
㦯	waak6
畑	tin4
㤵	ci4
閻	jim4
㣱	zaak6
䋿	wui1
𤩂	lou4
貪	taam1
誥	gou3
㶢	gau2
愝	jin2
帒	doi6
卩	zit3
