伯公▁神▁壇	san4
▁陶▁瓷濾杯	tou4
▁錐▁形濾杯	zeoi1
同年▁紀▁	gei2
同文同▁種▁	zung2
先▁行▁告退	hang4
芝士奶▁蓋▁	goi3
訂▁座▁電話	zo6
申訴專員公▁署▁	cyu5
個人資料私▁隱▁專員公署	jan2
米糧▁行▁	hong2
地▁位▁同等	wai6
一梯▁兩▁伙	loeng5
有▁腥▁味	seng1
黑▁底▁白字	dai1
▁嘟▁起個嘴	dut1/dyut1
劈▁柴▁	caai4
▁劈▁咗	pek3
送禮自用兩▁相▁宜	soeng1
老人癡▁呆▁症	ngoi4
電影▁院▁	jyun2
電▁影▁節	jing2
電影導▁演▁	jin2
▁父▁權主義	fu6
▁語▁源學	jyu5
海拔三千公▁尺▁	cek3
八餸一▁湯▁	tong1
▁女▁權主義	neoi5
女權▁分▁子	fan6
黨派之▁爭▁	zang1
創傷後壓力▁症▁候群	zing3
一萬▁円▁	jen1
白味▁噌▁	zang1
新▁番▁	faan1
套▁取▁	ceoi2
▁長▁線投資	coeng4
▁育▁嬰手冊	juk6
手腳▁冰▁冷	bing1
信▁貸▁保險	taai3
度▁假▁套餐	gaa3
講是▁非▁	fei1
講技▁巧▁	haau2
一葉▁扁▁舟	pin1
簽訂▁協▁議	hip3
上班一▁族▁	zuk6
旅▁遊▁攻略	jau4
光▁陰▁似箭	jam1
反▁映▁	jing2
依家▁搭▁正	daap6
一年一▁度▁	dou6
兩度▁當▁選	dong1
咩料▁呀▁今日？	aa3/a3
捐山▁窿▁	lung1
呢科嘅學員要經過實▁習▁先至可以攞到學分。	zaap6
▁被▁控	bei6
無家▁可▁歸	ho2
殊途同▁歸▁	gwai1
拍拖初期嘅人想▁廿▁四小時都黐埋一齊。	jaa6
遙距▁診▁症服務	can2
等咗好▁耐▁𨋢	noi6
賢▁弟▁	dai6
蘋▁果▁批	gwo2
紅▁豆▁批	dau2
▁隔▁油	gaak3
▁蹺▁手	kiu5
睇▁吓▁點先	haa5
睇▁下▁點先	haa5
夠鐘喇▁吓▁	haa2
你有冇▁讀▁過吳嘉玲案嘅判案書？	duk6
形神▁俱▁備	keoi1
▁攝▁衫	sip3
▁壅▁埋	ung1
拉手▁掣▁	zai3
玩▁鋪▁勁	pou1
▁度▁條計仔	dok6
度條▁計▁仔	gai2
諗過▁度▁過	dok6
政▁治▁事件	zi6
▁浸▁酒	zam3
▁嫖▁妓	piu4
人口普▁查▁	caa4
獨立包裝曲▁奇▁	kei4
夜▁蒲▁	pou4
同我死▁掂▁佢	dim6
▁逛▁街	kwaang3
拉▁近▁	kan5
發▁漲▁	zoeng3
不設▁淨▁飲	zing6
以紅色▁為▁主	wai4
▁冚▁你旗	kam2
砌▁拼▁圖	ping3
砌▁砌▁圖	cai3
香港銀行同業拆▁息▁	sik1
我同佢已經冇▁乜▁來往。	mat1
㨆起▁疊▁書	daap6
回復▁原▁狀	jyun4
將案▁發▁現場保持原狀。	faat3
雷▁達▁站	daat6
▁淺▁綠色	cin2
我對呢方面嘅▁認▁識好淺。	jing6
▁濃▁煙	nung4
深深認▁識▁	sik1
食嘢食到▁㗱▁㗱聲	zep4
呢碗▁糖▁水好杰。	tong4
一首動▁聽▁嘅歌曲	ting3
攻勢凌▁厲▁	lai6
山路▁崎▁嶇	kei4
▁懶▁醒	laan2
懶▁醒▁	sing2
進口一批靚茶▁葉▁	jip6
地▁下▁通道	haa6
追▁逐▁名利	zuk6
公開水域▁游▁泳	jau4
虛耗公▁帑▁	tong2
未水▁捉▁蜆	zuk1
長▁佔▁世界第一	zim3
▁社▁運團體	se5
維▁吾▁爾族	ng4
地▁區▁直選	keoi1
冧▁樓▁	lau2
▁冧▁樹	lam3
碰瓷▁黨▁	dong2
諸多不▁便▁	bin6
諸多事▁幹▁	gon3
鄉▁下▁話	haa2
非▁牟▁利機構	mau4
隊員▁冒▁住風雪前進。	mou6
退▁休▁基金	jau1
債▁券▁基金	gyun3/hyun3
公職人員薪酬▁調▁整條例	tiu4
判處終身▁監▁禁	gaam1
定罪▁率▁	leot2
▁暴▁力傾向	bou6
睡眠▁模▁式	mou4
出版社聯▁絡▁資料	lok6/lok3
球隊取得壓▁倒▁性嘅勝利。	dou2
血▁緣▁關係	jyun4
早日康▁復▁	fuk6
民運▁領▁袖	ling5
支▁援▁民運	wun4
▁揭▁幕禮	kit3
擇個吉▁日▁	jat2
▁赤▁貝	cek3
校本評▁核▁	hat6
將交▁易▁作廢	jik6
好壞▁參▁半	caam1
總括▁而▁言	ji4
吉▁盒▁	hap2
學生編▁號▁	hou6
一片荒▁涼▁	leong4
有鬼▁錢▁	cin2
求鬼▁其▁	kei4
▁費▁鬼事	fai3
▁核▁鬼突	wat6
點鬼▁樣▁	joeng2
點鬼▁解▁	gaai2
為▁妳▁着迷	nei5
改寫▁命▁運	ming6
清▁卡▁數	kaat1
少▁噉▁個位	gam2
正字▁法▁	faat3
樹木要吸收養分▁先▁可以成長。	sin1
▁摸▁音	mo2
唐▁伯▁虎點秋香	baak3
▁種▁花	zung3
引蛇出▁洞▁	dung6
老人▁除▁	ceoi4
放假梗係約埋幾個雀▁友▁打返幾圈啦。	jau5
個細路喺地下痾▁茄▁呀！	ke1
▁操▁肌	cou1
操▁卷▁	gyun2
資料外泄事故▁調▁查報告	diu6/tiu4
新股▁掛▁牌	gwaa3
▁罨▁芽菜	ap1
輸到一▁棟▁都冇	dung6
痴▁撚▁線	lan2/nan2
谷▁衡▁	hang4
花生▁糖▁	tong2
用張▁毯▁整熄個火	taan2
急性盲▁搶▁鹽	coeng2
▁咪▁箱	mai1
電子▁檔▁案	dong2
好多人搭地鐵鐘意▁憑▁住道門隔籬塊玻璃。	bang6
死多幾▁錢▁重	cin4
五張▁枱▁	toi2
分▁離▁傾向	lei4
做乜成日用個▁背▁脊腯住我？	bui3
諸多▁嘰▁趷	gi1
少做▁少▁錯	siu2
面▁相▁學	soeng3
加税加到▁冚▁冚聲	ham4
靚▁料▁	liu2
咋▁咋▁聲鐵板餐	zaa2/zaa4
收拾▁玩▁具	wun6
收▁拾▁殘局	sap6
裝人沖▁涼▁	loeng4
大▁概▁準則	koi3
▁雀▁斑	zoek3
事先▁聲▁明	sing1
▁內▁心世界	noi6
踏▁正▁	zeng3
明智嘅▁決▁定	kyut3
我個心好▁翳▁。	ai3
嗰間餐廳好多人，我哋等咗▁勁▁耐先有位。	ging6
有冇▁位▁？	wai2
打三十五▁磅▁呔氣	bong6
肅貪▁倡▁廉	coeng3
德育▁繪▁本	kui2
為行人▁締▁造舒適嘅環境	dai3/tai3
你以為響▁朵▁我就會怕你？	do2
天然▁景▁色	ging2
小心唔好▁扻▁親個頭。	ham2
垃▁圾▁堆	saap3
▁𢳂▁雪糕	bat1
甘心▁忿▁氣	fan6
乜你著到咁烏搲▁㗎▁？今晚去飲喎。	gaa3
休▁妻▁	cai1
牛奶▁朱▁古力	zyu1
繡花▁枕▁頭	zam2
善意▁謊▁言	fong1
▁啜▁手指	zyut1/zyut3
個蓋▁啜▁住咗。	zyut3
吸收水▁份▁	fan6
籌▁集▁資金	zaap6
耶穌降生喺馬槽嘅喜訊▁令▁以色列人愉悦。	ling6
死▁遠▁啲	jyun5
一擗▁泥▁	nai4
一▁擗▁忌廉	pet6
畀錢啲乞▁兒▁唔係真係幫緊佢哋。	ji1
眼神閃▁爍▁	soek3
眼神接▁觸▁	zuk1
▁從▁頭開始	cung4
金▁魚▁	jyu2
金▁魚▁街	jyu4
無法▁忘▁懷嘅旋律	mong4
脱▁歐▁	au1
能夠做到呢▁樣▁嘢嘅人真係鳳毛麟角。	joeng6
活動花▁絮▁	seoi2
去外▁埠▁做工	fau6
捉▁精▁靈	zing1
刻板▁印▁象	jan3
掛窗▁簾▁	lim2
映入眼▁簾▁	lim4
終▁極▁目標	gik6
公▁鹿▁	luk2
熟食▁檔▁	dong3
▁烘▁麪包	hong3
▁丐▁幫	koi3
心▁瓣▁	faan2
麻糖雞▁甩▁	nan1
保温▁瓶▁	ping4
我想買條水晶手▁鏈▁戴。	lin2
鐵窗生▁涯▁	ngaai4
佢嘅往▁績▁好出色。	zik1
食嘢唔▁駛▁食到咁狼胎！	sai2
友善對▁待▁對物	doi6
五十▁零▁歲	leng4
萬▁萬▁聲	maan2
魷魚▁乾▁	gon1
▁乾▁陵	kin4
藤▁椅▁	ji2
藤▁蓆▁	zek6
公共▁排▁污服務	paai4
考▁試▁範圍甲部	si5
私隱外▁露▁	lou6
入學▁要▁求	jiu1
行蹤詭▁秘▁	bei3
婚姻▁介▁紹所	gaai3
婚姻破▁裂▁	lit6
木▁塞▁	sak1
學校▁旅▁行	leoi5
幾▁滴▁水	dik6
荔溪（荔▁枝▁窩）	zi1
不分▁輕▁重	hing1
軍事聯▁盟▁	mang4
勞資▁糾▁紛	gau2/dau2
來電顯▁示▁	si6
一座▁廟▁宇	miu6
▁掃▁管笏	sou3
深▁屈▁	wat1
▁氹▁笏	tam5
走番▁茄▁	ke2
▁中▁頭獎	zung3
中▁肺▁炎	fai3
出嚟▁撩▁	liu4
歐▁霸▁盃	baa3
燃點蠟▁蠋▁	zuk1
毒▁蛇▁	se4
思緒▁紊▁亂	man5/man6
▁純▁天然	seon4
純▁屬▁虛構	suk6
傳媒▁操▁守	cou3
澎▁湃▁嘅動力	baai3
節奏▁澎▁湃	paang4
有▁毒▁植物圖鑑	duk6
無性▁繁▁殖	faan4
龍吟虎▁嘯▁	siu3
一系列穩定▁樓▁市嘅政策	lau4
外交部禮▁賓▁司	ban1
▁嶄▁新科技	zaam3
▁研▁究助理	jin4
助理主▁任▁	jam6
公司網▁頁▁	jip6
重視輸▁贏▁	jeng4
相交▁甚▁篤	sam6
受傳統所束▁縛▁	bok3
海景▁柏▁文	paat1
士氣高▁昂▁	ngong4
一次過滿▁足▁晒三個願望。	zuk1
才▁華▁洋溢	waa4
▁吹▁汽球	ceoi1
大▁乞▁嗤	hat1
孖▁條▁	tiu2
除衫▁搜▁身	sau2
賣倫▁敦▁金	deon1
▁彈▁劾總統	taan4
▁焫▁着	naat3
焫▁着▁	zoek6
插班生申▁請▁	cing2
▁北▁方口味	bak1
陸▁龜▁	gwai1
英▁噸▁	deon1
捆綁▁議▁案	ji5
一▁拃▁沙	zaa6
路面濕▁滑▁	waat6
高高▁哋▁	dei2
紅▁紅▁哋	hung2
▁啤▁酒廠	be1
李氏小學▁暨▁幼稚園	kei3
▁還▁書	waan4
宣佈獨▁立▁	lap6/laap6
流▁浪▁漢	long6
蒙受▁屈▁辱	wat1
一年一度嘅瘋▁狂▁大減價又開始喇！	kwong4
▁氚▁電池	cyun1
氚電▁池▁	ci4
性別偏▁見▁	gin3
▁扒▁獨木舟	paa4
選老▁坐▁	co5
美國駐香港大▁使▁館	si3/si5
氫氧化▁鈉▁	naap6
橡膠▁圈▁	hyun1
橡皮▁艇▁	teng5
再生▁塑▁膠	sou3/sok3
加▁強▁海防	koeng4
聽講政府又想再推版權修▁訂▁條例。	ding6
灌▁溉▁農田	koi3
一盞▁燕▁窩	jin3
民營▁企▁業	kei5
親愛嘅▁媽▁媽	maa4
武功▁蓋▁世	koi3
大學聯校巡迴舞▁蹈▁匯演	dou6
庸人自▁擾▁	jiu2
京▁畿▁道	gei1
覺▁暈▁	wan4
辦▁喜▁事	hei2
身▁居▁高位	geoi1
▁墊▁高	zin3
晴天霹▁靂▁	lik1
▁掀▁開本書	hin1
打▁桌▁球	coek3
私竇▁聚▁會	zeoi6
渴望▁獲▁勝嘅心態	wok6
十幾兜▁友▁	jau2
剎▁那▁光輝	naa5
迴旋▁處▁	cyu5/cyu3
神經細▁胞▁	baau1
斷▁絕▁香火	zyut6
鬼佬▁鴛▁鴦	jin1/jyun1
飲醉▁咪▁揸車	mai5
地▁藏▁菩薩本願經	zong6
兵馬▁俑▁	jung2
▁押▁後開審	aat3
框▁框▁	kwaang1
你睇阿松佢唸句經都▁唸▁到亂七八糟，就知佢修行唔夠啦。	nim6
第一屆校際辯▁論▁比賽	leon6
地▁庫▁二樓	fu3
簡單▁易▁明	ji6
雀▁鳥▁天堂	niu5
網域名▁稱▁	cing1
令人作▁嘔▁嘅氣味	au2
西班牙伊雲士豬仔肉伴野▁菌▁天使麪	kwan2
▁耷▁低個頭	dap1
耷▁迫▁力	bik6
臨門一▁腳▁	goek3
居高▁臨▁下	lam4
活▁潑▁好動	put3
大▁媽▁味	maa1
扒▁阿▁哥頭結婚	aa3
▁闖▁蕩江湖	cong2
將部分路▁擴▁闊至雙線行車	kwok3/kwong3
貓鬚能夠測▁量▁障礙物有幾高、幾闊。	loeng4
一名男子午夜喺街頭▁畀▁人圍毆。	bei2
戰場中屍▁橫▁遍野。	waang4
換電▁芯▁	sam1
取得▁勝▁利	sing3
係我拖▁累▁你！	leoi6
碌▁柚▁皮	jau2
幾▁粒▁米	lap1
批核▁貸▁款	taai3
山體滑▁坡▁	bo1
反▁轉▁件衫着	zyun3
八達通嘅標誌係一條▁莫▁比烏斯帶。	mok6
雜▁姓▁村	sing3
主謂結▁構▁	kau3/gau3
出嚟▁撈▁	lou1
集美貌與智▁慧▁於一身	wai3
概▁括▁而言	kut3
一連串▁槍▁聲	coeng1
▁溜▁馬作客公牛	lau4
脆皮▁豆▁腐	dau6
街邊小▁販▁	faan2
豆沙▁餡▁	haam2
揾▁藉▁口	zik6
（的士）暫停▁載▁客	zoi3
出▁於▁善心	jyu1
佢嘅口▁供▁受到警方質疑。	gung1
操▁縱▁市場	zung3
方便攜▁帶▁	daai3
奇妙▁樂▁園	lok6
私影▁妹▁	mui1
燒▁鵝▁	ngo2
緊▁抱▁	pou5
戒除▁惡▁習	ok3
隱▁藏▁檔案	cong4
呢隊波今年由甲組▁扽▁咗落乙組。	dan3
鑲▁嵌▁	ham3
環▁繞▁一周	jiu2
▁陳▁府宴客	can4
染上▁疾▁病	zat6
朝▁柄▁	beng3
清▁朝▁	ciu4
呢對夫妻經常因▁為▁小事而口角。	wai6
睇燈▁飾▁	sik1
電▁梯▁門	tai1
意大利▁燉▁飯	dan6
波髧▁髧▁	dam3
顏色暗▁淡▁	daam6
向海嘯死▁難▁者家屬致哀	naan6
抌本宣▁傳▁	cyun4
韞埋自己響屋▁企▁	kei2
政府批准發展商▁興▁建大型屋邨。	hing1
架構▁重▁組	cung4
我剪咗啲▁燶▁葉。	nung1
市場▁萎▁縮	wai2
呢個國家突然宣布自己▁擁▁有核武器。	jung2
港幣壹仟叁▁佰▁叁拾柒圓五毫	baak3
▁追▁巴士	zeoi1
混▁沌▁初開	deon6
職安健▁培▁訓	pui4
▁燂▁香	taam4
雋▁句▁	geoi3
希望警方能夠▁盡▁快將肇事者緝拿歸案。	zeon6
打一場硬▁仗▁	zoeng3
▁散▁佈謠言	saan3
▁假▁花	gaa2
賢妻良▁母▁	mou5
全軍▁覆▁滅	fuk1
你考成點？中中▁挺▁挺啦。	ting5
奶油▁蛋▁糕	daan6
小本▁創▁業	cong3
我哋會密▁切▁留意住事態嘅發展。	cit3
雄心▁壯▁志	zong3
佢因為誹▁謗▁而入罪。	bong3/pong3
防彈玻▁璃▁	lei1
有時善惡嘅分▁別▁只在於一念之間。	bit6
眼▁眶▁慢慢流出淚水。	kwaang1/hong1
為咗揾更加多嘅土地，▁拓▁荒嘅過程係必要嘅。	tok3
▁會▁心微笑	wui6
呢間餐廳嘅▁廚▁子煮嘢冇得彈。	cyu4
我真係睇唔慣佢嗰▁副▁高高在上嘅樣。	fu3
佢會主動幫人▁拎▁重嘢，真係好貼心	ling1
一一▁列▁出	lit6
傳▁福▁音	fuk1
▁裸▁考	lo2
解鎖▁屏▁幕	ping4
討伐董▁卓▁之戰	coek3
腹▁瀉▁	se3
佢唔小心倒▁瀉▁咗杯可樂	se2
榜首同榜尾嘅▁差▁距太大喇。	caa1
劍指▁奧▁運	ou3
老師講完之後，佢即▁刻▁就明喇。	hak1/haak1
無所畏▁懼▁	geoi6
▁奮▁勇抗敵	fan5
▁擴▁闊視野	kwok3/kwong3
▁剿▁匪	ziu2
兩▁棲▁作戰	cai1
手動排▁擋▁	dong3
攻▁鼻▁	bei6
削減▁撥▁款	but6
▁削▁減開支	soek3
恭賀新▁禧▁	hei1
▁徵▁收賦税	zing1
幕▁僚▁	liu4
外戚▁干▁政	gon1
▁捍▁衞學術自由	hon2/hon5
鼠▁輩▁	bui3
大隻騾▁騾▁跌落坑渠	leoi4
不受阻▁撓▁	naau4
好心▁腸▁	coeng4
衣▁著▁老土	zoek3
憑住精▁湛▁演技榮膺最佳男主角	zaam3
▁挑▁戰者	tiu1
盲目崇▁拜▁	baai3
唔好▁溺▁愛啲細路。	nik1
祝你有個▁愉▁快嘅旅程。	jyu6
▁芋▁蓉	wu6
荒廢咗嘅▁耕▁地	gaang1
八▁折▁	zit3
呢度有啲▁平▁價啲嘅選擇。	peng4
空▁襲▁警報	zaap6
冚▁被▁	pei5
▁冚▁家	ham6
天氣▁晴▁朗	cing4
